participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e71e92d7c127310819224be,49,hormiga,/oɾˈmi.ɣa/,English,Spanish,0.0816326530612245,1.665999889,-0.810267895728318,0.650106773206858,-1.75088948343525
5e71e92d7c127310819224be,50,jirafa,/xi'ɾa.fa/,English,Spanish,0.0277777777777778,6.762000084,0.202589948868652,0.0763838551209707,-1.87879407750205
5e71e92d7c127310819224be,51,ladrillo,/laˈdɾi.ʎo/,English,Spanish,0.03125,1.201999903,-0.497728903681252,1.09633570949588,-1.4361018849686
5e71e92d7c127310819224be,52,lapiz,/ˈla.piθ/,English,Spanish,0,3.381999969,-0.32409613032177,1.01983932041776,-0.995420940612481
5e71e92d7c127310819224be,53,leche,/ˈle.t͡ʃe/,English,Spanish,0.04,1.281999826,-0.62795348370086,0.713853764105292,-0.4791142887662
5e71e92d7c127310819224be,54,lengua,/ˈleɲ.ɡwa/,English,Spanish,0.078125,0.598999977,-1.13438240599934,0.905094736800587,-0.560659822573125
5e71e92d7c127310819224be,55,leon,/leˈon/,English,Spanish,0.1875,1.433000088,0.931847596978469,-1.19855596284767,-0.920331066150566
5e71e92d7c127310819224be,56,libro,/ˈli.βɾo/,English,Spanish,0.04,0.416000128,-1.29643966113486,0.637357375027173,0.0497126881945024
5e71e92d7c127310819224be,57,loro,/loˈɾo/,English,Spanish,0.25,3.312999964,-0.567182013025044,1.47881765488647,-1.56332974769517
5e71e92d7c127310819224be,58,luna,/'lu.na/,English,Spanish,0,0.748999834,0.283618576436412,0.3313718187147,-0.339033403810892
5e71e92d7c127310819224be,59,mano,/'ma.no/,English,Spanish,0.1875,0.299999952,0.283618576436412,-0.433592072066484,0.257152945770403
5e71e92d7c127310819224be,60,manzana,/maŋˈθa.na/,English,Spanish,0.0408163265306122,0.730999947,-1.01862722375969,1.20561626532176,-0.887380384484639
5e71e92d7c127310819224be,61,mariposa,/ma.ɾiˈpo.sa/,English,Spanish,0.046875,3.797999859,-0.536796277687133,0.235751332367052,-1.34377162740112
5e71e92d7c127310819224be,62,martillo,/marˈti.ʎo/,English,Spanish,0.078125,0.265000105,-0.702931272197001,0.549932930366466,-1.09041270417418
5e71e92d7c127310819224be,63,mesa,/'me.sa/,English,Spanish,0.04,0.450999975,-0.729239268160558,0.3313718187147,-0.115937071286162
